date,product,category,quantity,unit_price,revenue
2024-01-01,Laptop Pro,Accessories,5,661.21,3306.06
2024-01-01,Wireless Mouse,Furniture,1,880.61,880.61
2024-01-01,Headset Wireless,Furniture,2,616.07,1232.13
2024-01-01,Desk Lamp,Furniture,5,101.94,509.69
2024-01-01,Standing Desk,Furniture,3,450.05,1350.14
2024-01-01,Laptop Pro,Furniture,5,750.89,3754.46
2024-01-01,Headset Wireless,Accessories,3,183.16,549.47
2024-01-01,Laptop Pro,Electronics,3,649.0,1947.01
2024-01-01,Wireless Mouse,Accessories,2,627.14,1254.28
2024-01-01,Headset Wireless,Accessories,5,982.48,4912.4
2024-01-01,Headset Wireless,Electronics,1,988.53,988.53
2024-01-01,Keyboard Mechanical,Electronics,4,50.52,202.09
2024-01-01,Keyboard Mechanical,Electronics,5,154.66,773.28
2024-01-01,USB Hub,Furniture,4,962.52,3850.08
2024-01-01,Desk Lamp,Accessories,5,824.26,4121.3
2024-01-01,Laptop Pro,Electronics,1,313.74,313.74
2024-01-02,Headset Wireless,Accessories,3,312.52,937.56
2024-01-02,Laptop Pro,Furniture,1,125.57,125.57
2024-01-02,Monitor 4K,Electronics,5,1169.51,5847.55
2024-01-02,Wireless Mouse,Accessories,5,843.78,4218.92
2024-01-02,Webcam HD,Furniture,5,812.67,4063.37
2024-01-02,USB Hub,Accessories,5,330.77,1653.83
2024-01-02,Office Chair,Furniture,3,1084.82,3254.46
2024-01-02,Keyboard Mechanical,Furniture,3,843.13,2529.39
2024-01-02,Desk Lamp,Furniture,5,367.82,1839.1
2024-01-02,Office Chair,Furniture,4,921.38,3685.54
2024-01-02,Office Chair,Accessories,3,1114.24,3342.73
2024-01-02,Wireless Mouse,Accessories,3,100.01,300.03
2024-01-02,Standing Desk,Electronics,4,141.68,566.74
2024-01-02,Keyboard Mechanical,Electronics,5,1037.62,5188.11
2024-01-02,Webcam HD,Accessories,2,544.14,1088.28
2024-01-02,Wireless Mouse,Electronics,5,794.66,3973.31
2024-01-02,Standing Desk,Electronics,2,629.03,1258.06
2024-01-02,Headset Wireless,Accessories,5,482.0,2410.01
2024-01-02,Desk Lamp,Electronics,5,554.69,2773.47
2024-01-02,Headset Wireless,Accessories,2,135.68,271.36
